participant_id,trial_number,trial_id,domain,probability,gain,loss,certain_amount,certain_offset,is_dominance_check,choice,age_group,education,quant_background
P055,12,26,loss,0.75,0,100,-65.0,-10.0,False,certain,18-24,undergraduate,no
P027,14,4,gain,0.25,100,0,15.0,-10.0,False,certain,18-24,undergraduate,no
P053,23,27,loss,0.75,0,100,-75.0,0.0,False,certain,18-24,undergraduate,no
P031,21,28,loss,0.75,0,100,-85.0,10.0,False,gamble,18-24,undergraduate,no
P010,25,12,gain,0.75,100,0,85.0,10.0,False,certain,25-34,undergraduate,yes
P003,22,32,loss,0.5,0,100,0.0,,True,certain,18-24,other,yes
P007,13,26,loss,0.75,0,100,-65.0,-10.0,False,certain,25-34,undergraduate,yes
P005,27,30,loss,0.9,0,100,-90.0,0.0,False,gamble,25-34,postgraduate,no
P024,11,12,gain,0.75,100,0,85.0,10.0,False,certain,45+,undergraduate,no
P016,8,5,gain,0.25,100,0,25.0,0.0,False,gamble,18-24,undergraduate,no
P050,20,24,loss,0.5,0,100,-50.0,0.0,False,certain,45+,undergraduate,yes
P017,11,23,loss,0.5,0,100,-40.0,-10.0,False,certain,25-34,undergraduate,yes
P009,14,11,gain,0.75,100,0,75.0,0.0,False,gamble,18-24,postgraduate,yes
P024,16,7,gain,0.5,100,0,40.0,-10.0,False,gamble,45+,undergraduate,no
P004,8,14,gain,0.9,100,0,90.0,0.0,False,gamble,18-24,undergraduate,no
P015,9,15,gain,0.9,100,0,100.0,10.0,False,certain,18-24,undergraduate,no
P012,27,23,loss,0.5,0,100,-40.0,-10.0,False,certain,18-24,other,no
P034,26,15,gain,0.9,100,0,100.0,10.0,False,certain,25-34,undergraduate,no
P056,4,23,loss,0.5,0,100,-40.0,-10.0,False,gamble,18-24,undergraduate,yes
P020,16,1,gain,0.1,100,0,0.0,-10.0,False,gamble,18-24,undergraduate,no
P058,10,21,loss,0.25,0,100,-25.0,0.0,False,certain,25-34,undergraduate,no
P044,14,9,gain,0.5,100,0,60.0,10.0,False,certain,45+,undergraduate,no
P001,4,24,loss,0.5,0,100,-50.0,0.0,False,gamble,18-24,undergraduate,no
P004,17,9,gain,0.5,100,0,60.0,10.0,False,certain,18-24,undergraduate,no
P003,20,17,loss,0.1,0,100,0.0,-10.0,False,certain,18-24,other,yes
P058,2,1,gain,0.1,100,0,0.0,-10.0,False,gamble,25-34,undergraduate,no
P019,27,14,gain,0.9,100,0,90.0,0.0,False,certain,18-24,other,no
P045,23,12,gain,0.75,100,0,85.0,10.0,False,certain,25-34,undergraduate,no
P050,1,28,loss,0.75,0,100,-85.0,10.0,False,gamble,45+,undergraduate,yes
P028,18,7,gain,0.5,100,0,40.0,-10.0,False,gamble,18-24,postgraduate,no
P029,24,29,loss,0.9,0,100,-80.0,-10.0,False,certain,18-24,postgraduate,yes
P056,24,12,gain,0.75,100,0,85.0,10.0,False,gamble,18-24,undergraduate,yes
P046,1,23,loss,0.5,0,100,-40.0,-10.0,False,gamble,25-34,postgraduate,yes
P035,4,21,loss,0.25,0,100,-25.0,0.0,False,certain,18-24,postgraduate,yes
P038,13,10,gain,0.75,100,0,65.0,-10.0,False,gamble,18-24,postgraduate,no
P048,5,15,gain,0.9,100,0,100.0,10.0,False,certain,18-24,other,yes
P036,20,16,gain,0.5,100,0,120.0,,True,certain,18-24,postgraduate,yes
P058,20,20,loss,0.25,0,100,-15.0,-10.0,False,certain,25-34,undergraduate,no
P011,30,31,loss,0.9,0,100,-100.0,10.0,False,gamble,18-24,undergraduate,no
P038,20,25,loss,0.5,0,100,-60.0,10.0,False,certain,18-24,postgraduate,no
P057,32,25,loss,0.5,0,100,-60.0,10.0,False,gamble,18-24,postgraduate,no
P027,11,7,gain,0.5,100,0,40.0,-10.0,False,gamble,18-24,undergraduate,no
P001,32,9,gain,0.5,100,0,60.0,10.0,False,certain,18-24,undergraduate,no
P038,31,20,loss,0.25,0,100,-15.0,-10.0,False,gamble,18-24,postgraduate,no
P056,15,20,loss,0.25,0,100,-15.0,-10.0,False,gamble,18-24,undergraduate,yes
P020,10,7,gain,0.5,100,0,40.0,-10.0,False,certain,18-24,undergraduate,no
P016,21,28,loss,0.75,0,100,-85.0,10.0,False,gamble,18-24,undergraduate,no
P057,25,5,gain,0.25,100,0,25.0,0.0,False,gamble,18-24,postgraduate,no
P034,8,19,loss,0.1,0,100,-20.0,10.0,False,gamble,25-34,undergraduate,no
P010,1,21,loss,0.25,0,100,-25.0,0.0,False,certain,25-34,undergraduate,yes
P056,31,31,loss,0.9,0,100,-100.0,10.0,False,certain,18-24,undergraduate,yes
P030,10,32,loss,0.5,0,100,0.0,,True,certain,35-44,undergraduate,no
P057,15,21,loss,0.25,0,100,-25.0,0.0,False,gamble,18-24,postgraduate,no
P046,17,3,gain,0.1,100,0,20.0,10.0,False,gamble,25-34,postgraduate,yes
P014,1,15,gain,0.9,100,0,100.0,10.0,False,certain,18-24,postgraduate,no
P050,27,25,loss,0.5,0,100,-60.0,10.0,False,certain,45+,undergraduate,yes
P020,2,24,loss,0.5,0,100,-50.0,0.0,False,certain,18-24,undergraduate,no
P025,1,32,loss,0.5,0,100,0.0,,True,gamble,35-44,undergraduate,yes
P029,28,17,loss,0.1,0,100,0.0,-10.0,False,certain,18-24,postgraduate,yes
P048,13,6,gain,0.25,100,0,35.0,10.0,False,gamble,18-24,other,yes
P047,20,23,loss,0.5,0,100,-40.0,-10.0,False,gamble,18-24,undergraduate,no
