participant_id,trial_number,trial_id,domain,probability,gain,loss,certain_amount,certain_offset,is_dominance_check,choice
P055,12,26,loss,0.75,0,100,-65.0,-10.0,False,certain
P027,14,4,gain,0.25,100,0,15.0,-10.0,False,certain
P053,23,27,loss,0.75,0,100,-75.0,0.0,False,certain
P031,21,28,loss,0.75,0,100,-85.0,10.0,False,gamble
P010,25,12,gain,0.75,100,0,85.0,10.0,False,certain
P003,22,32,loss,0.5,0,100,0.0,,True,certain
P007,13,26,loss,0.75,0,100,-65.0,-10.0,False,certain
P005,27,30,loss,0.9,0,100,-90.0,0.0,False,gamble
P024,11,12,gain,0.75,100,0,85.0,10.0,False,certain
P016,8,5,gain,0.25,100,0,25.0,0.0,False,gamble
P050,20,24,loss,0.5,0,100,-50.0,0.0,False,certain
P017,11,23,loss,0.5,0,100,-40.0,-10.0,False,certain
P009,14,11,gain,0.75,100,0,75.0,0.0,False,gamble
P024,16,7,gain,0.5,100,0,40.0,-10.0,False,gamble
P004,8,14,gain,0.9,100,0,90.0,0.0,False,gamble
P015,9,15,gain,0.9,100,0,100.0,10.0,False,certain
P012,27,23,loss,0.5,0,100,-40.0,-10.0,False,certain
P034,26,15,gain,0.9,100,0,100.0,10.0,False,certain
P056,4,23,loss,0.5,0,100,-40.0,-10.0,False,gamble
P020,16,1,gain,0.1,100,0,0.0,-10.0,False,gamble
P058,10,21,loss,0.25,0,100,-25.0,0.0,False,certain
P044,14,9,gain,0.5,100,0,60.0,10.0,False,certain
P001,4,24,loss,0.5,0,100,-50.0,0.0,False,gamble
P004,17,9,gain,0.5,100,0,60.0,10.0,False,certain
P003,20,17,loss,0.1,0,100,0.0,-10.0,False,certain
P058,2,1,gain,0.1,100,0,0.0,-10.0,False,gamble
P019,27,14,gain,0.9,100,0,90.0,0.0,False,certain
P045,23,12,gain,0.75,100,0,85.0,10.0,False,certain
P050,1,28,loss,0.75,0,100,-85.0,10.0,False,gamble
P028,18,7,gain,0.5,100,0,40.0,-10.0,False,gamble
P029,24,29,loss,0.9,0,100,-80.0,-10.0,False,certain
P056,24,12,gain,0.75,100,0,85.0,10.0,False,gamble
P046,1,23,loss,0.5,0,100,-40.0,-10.0,False,gamble
P035,4,21,loss,0.25,0,100,-25.0,0.0,False,certain
P038,13,10,gain,0.75,100,0,65.0,-10.0,False,gamble
P048,5,15,gain,0.9,100,0,100.0,10.0,False,certain
P036,20,16,gain,0.5,100,0,120.0,,True,certain
P058,20,20,loss,0.25,0,100,-15.0,-10.0,False,certain
P011,30,31,loss,0.9,0,100,-100.0,10.0,False,gamble
P038,20,25,loss,0.5,0,100,-60.0,10.0,False,certain
P057,32,25,loss,0.5,0,100,-60.0,10.0,False,gamble
P027,11,7,gain,0.5,100,0,40.0,-10.0,False,gamble
P001,32,9,gain,0.5,100,0,60.0,10.0,False,certain
P038,31,20,loss,0.25,0,100,-15.0,-10.0,False,gamble
P056,15,20,loss,0.25,0,100,-15.0,-10.0,False,gamble
P020,10,7,gain,0.5,100,0,40.0,-10.0,False,certain
P016,21,28,loss,0.75,0,100,-85.0,10.0,False,gamble
P057,25,5,gain,0.25,100,0,25.0,0.0,False,gamble
P034,8,19,loss,0.1,0,100,-20.0,10.0,False,gamble
P010,1,21,loss,0.25,0,100,-25.0,0.0,False,certain
P056,31,31,loss,0.9,0,100,-100.0,10.0,False,certain
P030,10,32,loss,0.5,0,100,0.0,,True,certain
P057,15,21,loss,0.25,0,100,-25.0,0.0,False,gamble
P046,17,3,gain,0.1,100,0,20.0,10.0,False,gamble
P014,1,15,gain,0.9,100,0,100.0,10.0,False,certain
P050,27,25,loss,0.5,0,100,-60.0,10.0,False,certain
P020,2,24,loss,0.5,0,100,-50.0,0.0,False,certain
P025,1,32,loss,0.5,0,100,0.0,,True,gamble
P029,28,17,loss,0.1,0,100,0.0,-10.0,False,certain
P048,13,6,gain,0.25,100,0,35.0,10.0,False,gamble
P047,20,23,loss,0.5,0,100,-40.0,-10.0,False,gamble
