participant_id,age_group,education,quant_background
P001,18-24,undergraduate,no
P002,18-24,postgraduate,no
P003,18-24,other,yes
P004,18-24,undergraduate,no
P005,25-34,postgraduate,no
P006,25-34,undergraduate,no
P007,25-34,undergraduate,yes
P008,18-24,postgraduate,no
P009,18-24,postgraduate,yes
P010,25-34,undergraduate,yes
P011,18-24,undergraduate,no
P012,18-24,other,no
P013,18-24,postgraduate,yes
P014,18-24,postgraduate,no
P015,18-24,undergraduate,no
P016,18-24,undergraduate,no
P017,25-34,undergraduate,yes
P018,35-44,undergraduate,no
P019,18-24,other,no
P020,18-24,undergraduate,no
P021,35-44,undergraduate,yes
P022,18-24,undergraduate,no
P023,18-24,postgraduate,yes
P024,45+,undergraduate,no
P025,35-44,undergraduate,yes
P026,18-24,undergraduate,yes
P027,18-24,undergraduate,no
P028,18-24,postgraduate,no
P029,18-24,postgraduate,yes
P030,35-44,undergraduate,no
P031,18-24,undergraduate,no
P032,18-24,postgraduate,yes
P033,45+,postgraduate,no
P034,25-34,undergraduate,no
P035,18-24,postgraduate,yes
P036,18-24,postgraduate,yes
P037,25-34,undergraduate,no
P038,18-24,postgraduate,no
P039,25-34,undergraduate,no
P040,25-34,undergraduate,yes
P041,18-24,undergraduate,no
P042,35-44,undergraduate,yes
P043,35-44,undergraduate,yes
P044,45+,undergraduate,no
P045,25-34,undergraduate,no
P046,25-34,postgraduate,yes
P047,18-24,undergraduate,no
P048,18-24,other,yes
P049,18-24,undergraduate,no
P050,45+,undergraduate,yes
P051,25-34,undergraduate,yes
P052,45+,undergraduate,yes
P053,18-24,undergraduate,no
P054,35-44,postgraduate,no
P055,18-24,undergraduate,no
P056,18-24,undergraduate,yes
P057,18-24,postgraduate,no
P058,25-34,undergraduate,no
P059,25-34,postgraduate,no
P060,25-34,postgraduate,no
